u,v,key,osmid,name,highway,length,access,width,geometry
83831739,12437443627,0,1344396105,,service,56.24288785083207,,,"LINESTRING (-111.520355 40.669799, -111.520352 40.670169, -111.520267 40.670288)"
83831739,6190159636,0,1344396105,,service,82.97228683259044,,,"LINESTRING (-111.520355 40.669799, -111.520345 40.669411, -111.520299 40.669054)"
83831739,6190159636,1,"[10158377, 1344396106]",,service,209.08879480378215,,,"LINESTRING (-111.520355 40.669799, -111.521119 40.669787, -111.521179 40.66966, -111.521181 40.669279, -111.521137 40.66918, -111.521035 40.669105, -111.520926 40.669068, -111.520576 40.6691, -111.520299 40.669054)"
83832923,83846148,0,10158466,Captain Molly Drive,residential,42.81665642857056,,,"LINESTRING (-111.50888 40.658284, -111.508825 40.658666)"
83832923,83832928,0,10158466,Captain Molly Drive,residential,74.16106888846676,,,"LINESTRING (-111.50888 40.658284, -111.50887 40.658212, -111.508816 40.657971, -111.508791 40.657908, -111.508684 40.657774, -111.508633 40.657728, -111.508557 40.657692)"
83832923,83832928,1,40263871,Captain Molly Drive,residential,104.20569733198786,,,"LINESTRING (-111.50888 40.658284, -111.508453 40.658168, -111.508399 40.65815, -111.508375 40.658117, -111.508313 40.657959, -111.5083 40.657908, -111.508314 40.657878, -111.508357 40.657834, -111.508557 40.657692)"
83832928,83875910,0,10158466,Captain Molly Drive,residential,98.90354241367332,,,"LINESTRING (-111.508557 40.657692, -111.508452 40.65765, -111.508371 40.65762, -111.508318 40.657595, -111.508202 40.657517, -111.508039 40.657396, -111.507896 40.65728, -111.507831 40.657208, -111.507748 40.657075)"
83832928,83875910,1,10161502,Captain Molly Drive,residential,141.10012783306848,,,"LINESTRING (-111.508557 40.657692, -111.508674 40.657608, -111.508717 40.657573, -111.508728 40.657544, -111.508717 40.657495, -111.508645 40.657266, -111.508625 40.65723, -111.508432 40.657065, -111.508383 40.657046, -111.50834 40.657044, -111.507748 40.657075)"
83832928,83832923,0,10158466,Captain Molly Drive,residential,74.16106888846676,,,"LINESTRING (-111.508557 40.657692, -111.508633 40.657728, -111.508684 40.657774, -111.508791 40.657908, -111.508816 40.657971, -111.50887 40.658212, -111.50888 40.658284)"
83832928,83832923,1,40263871,Captain Molly Drive,residential,104.20569733198784,,,"LINESTRING (-111.508557 40.657692, -111.508357 40.657834, -111.508314 40.657878, -111.5083 40.657908, -111.508313 40.657959, -111.508375 40.658117, -111.508399 40.65815, -111.508453 40.658168, -111.50888 40.658284)"
