trail_name,sampled_length_miles,topography_sample_count,minimum_elevation_feet,maximum_elevation_feet,mean_elevation_feet,elevation_range_feet,mean_slope_degrees,median_slope_degrees,maximum_slope_degrees,north_facing_pct,east_facing_pct,south_facing_pct,west_facing_pct,final_area,latitude,longitude,distance_miles,source
Empire Alternate,0.1,10,7918.3,7974.4,7943.1,56.0,16.3,16.4,21.6,0.0,0.0,100.0,0.0,Deer Valley,40.62635819528807,-111.50016350153602,0.1095037763895134,OpenStreetMap
Empire Link,2.2,191,7856.6,8281.6,8022.2,425.0,22.6,23.7,35.5,4.7,19.4,50.3,25.7,Deer Valley,40.62422557470265,-111.50748256286928,2.2026734775219,OpenStreetMap
Empire Lodge,0.4,39,8326.0,8614.8,8439.2,288.7,13.0,12.8,26.8,28.2,0.0,5.1,66.7,Deer Valley,40.61442062316093,-111.51298418240138,0.3990093717656819,OpenStreetMap
Empire Pass Connector,0.4,41,8924.0,8965.9,8948.4,41.9,12.8,13.4,22.3,87.8,2.4,0.0,9.8,Deer Valley,40.60627316294136,-111.51481095351645,0.4445298999402851,OpenStreetMap
Finns,0.3,27,7140.8,7279.6,7214.2,138.8,24.0,24.7,36.1,0.0,96.3,3.7,0.0,Deer Valley,40.640763495812735,-111.47689190658058,0.3221560899820196,OpenStreetMap
Fireswamp,0.7,67,8482.6,9273.9,8873.0,791.3,18.8,19.8,25.9,0.0,0.0,100.0,0.0,Deer Valley,40.61340925382439,-111.48239833860336,0.7370914838453253,OpenStreetMap
Flagstaff Loop,3.0,277,8785.5,9010.6,8898.0,225.2,10.1,10.0,23.7,8.7,13.0,40.1,38.3,Deer Valley,40.60758047007656,-111.496735533601,3.0228944351889417,OpenStreetMap
Gap Bypass Trail,0.4,39,7278.0,7326.5,7306.6,48.5,24.8,27.1,36.1,0.0,64.1,35.9,0.0,Deer Valley,40.64123747413292,-111.47577580871994,0.3812804280106275,OpenStreetMap
Gap Loop,1.9,166,7303.7,7618.9,7445.8,315.2,23.3,24.7,35.9,8.4,27.1,40.4,24.1,Deer Valley,40.6409109833561,-111.47399614902376,1.9224854744893047,OpenStreetMap
Grave Digger,0.5,38,7659.8,7734.0,7682.6,74.2,24.7,26.7,36.3,10.5,0.0,2.6,86.8,Deer Valley,40.62962271716946,-111.50201210924322,0.4549010474108758,OpenStreetMap
Heard It Both Ways Trail,3.6,303,8658.9,9073.5,8855.0,414.5,15.0,14.9,30.6,38.3,18.2,15.2,28.4,Deer Valley,40.593082879194085,-111.49125770411068,3.5945179360871347,OpenStreetMap
Holy Roller,4.2,361,8121.6,9298.2,8716.2,1176.6,17.9,17.7,32.1,20.8,29.4,36.0,13.9,Deer Valley,40.6113609111251,-111.48708066137604,4.160330612011111,OpenStreetMap
Humdinger,3.2,263,7250.4,7937.0,7537.3,686.7,23.0,24.0,33.5,25.1,0.0,45.2,29.7,Deer Valley,40.626356336628135,-111.46720603877804,3.2287801918582923,OpenStreetMap
Io Trail (Middle),0.3,26,9253.3,9432.7,9342.5,179.3,18.6,22.1,28.2,92.3,0.0,0.0,7.7,Deer Valley,40.61025792344493,-111.52770861008732,0.2892459757328841,OpenStreetMap
Izzy's Inferno (Dog Pound),0.1,14,8143.3,8219.5,8193.5,76.2,12.8,13.0,23.6,0.0,0.0,85.7,14.3,Deer Valley,40.619811878384205,-111.48856422719636,0.132612509409433,OpenStreetMap
Jeep Hill (Safety Coridoor),0.2,18,8699.5,8951.8,8820.6,252.3,12.6,13.1,16.8,100.0,0.0,0.0,0.0,Deer Valley,40.60451306969404,-111.50923514571896,0.206925249538742,OpenStreetMap
Johns 99,0.6,52,8182.7,8279.9,8231.6,97.1,22.2,21.3,31.9,26.9,0.0,36.5,36.5,Deer Valley,40.62450457371346,-111.51231498110546,0.6211821280305257,OpenStreetMap
Lavina,1.0,82,8267.0,8818.5,8621.7,551.5,13.7,12.4,29.5,68.3,13.4,9.8,8.5,Deer Valley,40.58376333945228,-111.52567195673171,0.9723264343001689,OpenStreetMap
Link,0.7,62,8257.2,8456.8,8385.3,199.6,21.9,23.1,32.9,1.6,0.0,67.7,30.6,Deer Valley,40.624117394272574,-111.51614328186776,0.6685074356578963,OpenStreetMap
Little Chief,0.7,64,8247.5,8462.5,8322.6,215.0,21.5,20.5,33.1,0.0,0.0,3.1,96.9,Deer Valley,40.61872839208637,-111.51243052868438,0.7459059804719618,OpenStreetMap
Little Stick,0.3,31,7332.1,7603.8,7464.6,271.7,17.1,14.2,26.8,0.0,48.4,51.6,0.0,Deer Valley,40.63409637421967,-111.478301770839,0.3366888443803764,OpenStreetMap
Lower Devo Trail,1.1,98,7249.7,8016.5,7656.5,766.9,19.4,18.7,30.6,0.0,0.0,27.6,72.4,Deer Valley,40.63290230557317,-111.48205615844142,1.1211882501001214,OpenStreetMap
Lower Village,0.3,26,6930.4,7071.0,7008.1,140.7,23.1,24.2,29.4,0.0,0.0,69.2,30.8,Deer Valley,40.64043848354113,-111.46360640728942,0.3080748570651492,OpenStreetMap
McHenry Avenue,0.3,25,7264.9,7287.3,7274.9,22.4,23.9,24.5,32.6,0.0,100.0,0.0,0.0,Deer Valley,40.640126864152855,-111.49219625319049,0.2904287520988196,OpenStreetMap
Moose Poop,0.2,20,7512.7,7714.9,7607.1,202.2,15.5,14.9,25.8,20.0,0.0,5.0,75.0,Deer Valley,40.633538239133244,-111.50120248027572,0.2349675383719401,OpenStreetMap
Moosebones,0.9,80,8763.2,8943.9,8857.2,180.7,15.8,17.3,22.9,0.0,52.5,46.2,1.2,Deer Valley,40.61167254823319,-111.50326786094648,0.9058066841005448,OpenStreetMap
Mother Urban,2.4,199,7668.3,8272.5,7904.1,604.2,21.4,20.4,38.1,14.1,0.0,29.6,56.3,Deer Valley,40.63167066031289,-111.5034058570439,2.364637954787108,OpenStreetMap
NCS,0.7,64,7538.6,8347.5,7992.5,808.9,21.0,19.3,37.7,0.0,6.2,70.3,23.4,Deer Valley,40.62911396321707,-111.4803727621932,0.6805296080278715,OpenStreetMap
OMG,0.3,25,7486.1,7662.1,7571.3,176.0,27.8,29.0,32.3,0.0,72.0,28.0,0.0,Deer Valley,40.631226274970665,-111.4973428195913,0.2726891782397382,OpenStreetMap
Old Homeward Bound,0.7,59,8264.5,8597.2,8441.1,332.7,23.2,23.8,29.4,0.0,71.2,28.8,0.0,Deer Valley,40.61357496233911,-111.48964629692756,0.6855619356578508,OpenStreetMap
Old Skool,0.4,36,7642.0,7986.8,7827.2,344.8,13.0,12.6,19.9,0.0,2.8,91.7,5.6,Deer Valley,40.631898683587,-111.48423208918877,0.4053651948438035,OpenStreetMap
Ontario Canyon,2.0,190,8138.9,9327.9,8755.1,1189.0,12.1,11.9,26.1,7.9,28.4,56.8,6.8,Deer Valley,40.61130277448227,-111.48755898005427,1.9738478900894416,OpenStreetMap
Ontario Ridge,0.2,21,7722.8,7903.4,7815.3,180.6,9.9,9.9,15.1,0.0,0.0,57.1,42.9,Deer Valley,40.62821582013441,-111.49780973717266,0.2246842113577315,OpenStreetMap
Ore Cart,0.3,24,8064.8,8251.4,8146.4,186.6,22.7,23.7,28.3,25.0,0.0,0.0,75.0,Deer Valley,40.621755910380834,-111.51139929264724,0.276968196259141,OpenStreetMap
Outlook,0.5,45,7621.6,7707.0,7646.2,85.3,21.5,20.9,30.1,0.0,13.3,51.1,35.6,Deer Valley,40.63657831428653,-111.4685462481628,0.5068758273560625,OpenStreetMap
Payroll,0.3,29,8529.1,8727.3,8630.4,198.1,18.9,19.2,27.9,0.0,3.4,13.8,82.8,Deer Valley,40.61095393430099,-111.5094443089702,0.3432297813282242,OpenStreetMap
Pedalers Inn,0.3,24,8165.9,8405.8,8286.8,239.9,16.8,17.9,22.3,0.0,8.3,91.7,0.0,Deer Valley,40.61923438649311,-111.4865707901735,0.2637280489646287,OpenStreetMap
Pipeline,1.7,141,7071.0,7635.0,7356.9,563.9,21.4,21.4,30.9,0.0,18.4,81.6,0.0,Deer Valley,40.63885618836171,-111.46966538134832,1.6682312832818753,OpenStreetMap
Pointy Rocks,0.2,18,7323.2,7519.3,7428.0,196.1,22.1,22.9,31.8,0.0,0.0,11.1,88.9,Deer Valley,40.63679995846106,-111.48172224533342,0.1824405175632854,OpenStreetMap
Prospect,0.6,52,7306.8,7711.1,7482.8,404.3,11.0,10.3,21.4,0.0,19.2,78.8,1.9,Deer Valley,40.63405408516434,-111.49547333835608,0.5879842900161183,OpenStreetMap
Regulator Trail,1.4,120,7733.1,8330.3,8033.8,597.1,22.2,21.4,35.8,0.0,25.0,66.7,8.3,Deer Valley,40.62910164594688,-111.48142418804063,1.399710702258098,OpenStreetMap
Rinse Cycle Trail,2.6,213,6863.6,7603.9,7191.1,740.3,21.5,21.4,33.6,18.3,0.0,16.4,65.3,Deer Valley,40.62990230274806,-111.45944053119273,2.5523255342373106,OpenStreetMap
Ripple Trail,2.6,235,7239.4,7945.4,7588.0,706.0,19.9,19.6,34.1,0.0,28.5,45.5,26.0,Deer Valley,40.63554405253732,-111.47490110184252,2.6251753255560235,OpenStreetMap
Rossi Hill Trail,1.5,134,7288.7,7458.0,7341.8,169.4,18.8,19.8,32.7,0.0,56.0,41.0,3.0,Deer Valley,40.63808222920599,-111.4919292526201,1.4888740362136077,OpenStreetMap
