date,trail_name,trail_latitude,trail_longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
2023-01-02,Cyn City,40.62087939999999,-111.5211681,20.8,15.2,17.7,0.165,0.0,1.157,0.165,1.819,1.819,20.9,20.9,0,0.0,0.0,12.732,12.732,0,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-02,Empire Link,40.624661,-111.5080778,23.8,18.2,21.1,0.193,0.0,1.35,0.193,1.921,1.921,24.15,24.15,0,0.0,0.0,13.448,13.448,0,2.2,7855.6,8275.8,544.3,208.7,420.2,179
2023-01-02,Flagstaff Loop,40.60789630000001,-111.4971378,20.7,15.1,18.0,0.193,0.0,1.35,0.193,1.921,1.921,21.05,21.05,0,0.0,0.0,13.448,13.448,0,2.2,8782.4,8935.8,230.3,236.2,153.4,181
2023-01-02,Jenni's Trail upper,40.6395667,-111.5112078,25.1,19.5,22.4,0.193,0.0,1.35,0.193,1.921,1.921,25.45,25.45,0,0.0,0.0,13.448,13.448,0,3.1,7491.0,8170.4,150.1,805.3,679.5,253
2023-01-02,Keystone Trail,40.62398249999998,-111.5280761,23.8,14.3,17.9,0.319,0.0,2.26,0.319,1.98,1.98,22.4,22.4,0,0.0,0.0,13.89,13.89,0,2.6,8568.0,9029.7,99.2,553.8,461.7,211
2023-01-02,Lost Prospector,40.65901600000001,-111.490176,23.5,19.9,21.7,0.165,0.004,1.13,0.165,1.5310000000000001,1.5310000000000001,24.299999999999997,24.299999999999997,0,0.0,0.0,10.693000000000001,10.693000000000001,0,3.2,6868.8,7160.7,336.0,271.2,291.9,256
2023-01-02,Mid-Mountain Trail,40.62806400000001,-111.51399,22.1,16.6,19.0,0.165,0.0,1.157,0.165,1.819,1.819,22.2,22.2,0,0.0,0.0,12.732,12.732,0,7.4,8096.5,8520.7,868.9,751.7,424.2,597
2023-01-02,Mother Urban,40.63643319999999,-111.5009833,25.1,19.5,22.4,0.193,0.0,1.35,0.193,1.921,1.921,25.45,25.45,0,0.0,0.0,13.448,13.448,0,2.4,7664.3,8279.0,46.4,639.4,614.7,192
2023-01-02,Rambler,40.69544569999999,-111.4874682,24.4,20.8,22.5,0.165,0.004,1.13,0.165,1.5310000000000001,1.5310000000000001,25.1,25.1,0,0.0,0.0,10.693000000000001,10.693000000000001,0,2.1,6766.9,7064.2,131.3,319.7,297.3,167
2023-01-02,Ripple Trail,40.63461739999999,-111.47774560000002,25.1,19.5,22.4,0.193,0.0,1.35,0.193,1.921,1.921,25.45,25.45,0,0.0,0.0,13.448,13.448,0,2.3,7239.6,7860.8,5.0,621.8,621.3,189
2023-01-02,Round Valley Express,40.68866779999999,-111.4899257,24.2,20.6,22.3,0.165,0.004,1.13,0.165,1.5310000000000001,1.5310000000000001,24.9,24.9,0,0.0,0.0,10.693000000000001,10.693000000000001,0,1.3,6716.9,6963.5,250.4,26.0,246.6,104
2023-01-02,Solamere,40.65173099999999,-111.472688,23.9,19.1,22.0,0.165,0.0,1.157,0.165,1.413,1.413,24.9,24.9,0,0.0,0.0,9.866,9.866,0,0.4,7231.7,7422.9,178.9,29.9,191.2,32
