trail_name,segment_count,total_length_meters,total_length_miles
Sweeneys,5,492.3,0.31
Silver Lake Road,2,478.5,0.3
McHenry Avenue,1,467.4,0.29
Boot Hill,2,465.6,0.29
Gambel Oak Cut,1,454.8,0.28
SQ Connector Trail,2,447.1,0.28
Daily Overlook,1,447.0,0.28
Ore Cart,1,445.7,0.28
OMG,2,438.9,0.27
Pedalers Inn,2,424.4,0.26
Hang Time South,2,422.4,0.26
SOS,1,420.8,0.26
Equestrian,2,418.1,0.26
Holy Roller Access,3,393.7,0.24
Moose Poop,1,378.1,0.23
Boot Hill Connect,1,364.9,0.23
Ontario Mine Trailhead Access,1,363.1,0.23
Ontario Ridge,2,361.6,0.22
Twist & Shout,1,361.1,0.22
Lookout Access,2,360.1,0.22
Euston Drive / Euston,1,334.5,0.21
Upper Devo Trail,1,326.5,0.2
Johns Access,4,299.4,0.19
Pointy Rocks,2,293.6,0.18
Upper Loose Moose,1,285.4,0.18
Blazing Saddle,1,277.8,0.17
Matts Access,1,276.8,0.17
Village Pipeline Connector,1,267.6,0.17
Devo,3,249.5,0.16
Village Trail,1,246.9,0.15
Shenanigans,1,243.8,0.15
Ramble On,1,225.5,0.14
Deer Crest Access,1,214.9,0.13
Nick NAC,4,214.6,0.13
Izzy's Inferno (Dog Pound),2,213.4,0.13
Silver Star Access,1,210.0,0.13
Eagle Cove,1,204.2,0.13
Sunny Slopes Trail,3,199.4,0.12
Perrier Pass,1,192.4,0.12
Silver Star Drive,1,192.2,0.12
Mid-Mountain Connect,1,187.8,0.12
Drift Road / King Road,1,181.6,0.11
Empire Alternate,1,176.2,0.11
Town,2,172.5,0.11
Bow Hunter,1,170.1,0.11
Corvair Connector,1,164.4,0.1
Barrel Roll (West),1,160.6,0.1
Lila's Lair (Dog Pound),2,152.0,0.09
April Mountain Summit Trail,1,149.7,0.09
Fox Tail Cutoff,1,148.3,0.09
Iron Mountain Drive,1,143.2,0.09
Red Cloud Trail,1,141.5,0.09
Outlook,2,137.8,0.09
Quarry Road,2,134.0,0.08
Shadow Lake Cutoff,1,133.9,0.08
Cammy Connector,1,130.6,0.08
Root Cellar,1,126.4,0.08
St. Regis Connector,1,122.3,0.08
Jenni Payday,1,121.7,0.08
Piper's Playground (Dog Pound),1,119.2,0.07
