trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
Izzy's Inferno (Dog Pound),Deer Valley,40.619811878384205,-111.48856422719636,8193.5,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,55.38571428571413
Old Homeward Bound,Deer Valley,40.61357496233911,-111.48964629692756,8441.1,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,192.21428571428623
Pedalers Inn,Deer Valley,40.61923438649311,-111.4865707901735,8286.8,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,37.91428571428514
Sam's Trail,Deer Valley,40.61912724197413,-111.50964994268364,8145.3,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,103.58571428571395
Shenanigans,Deer Valley,40.62034189886961,-111.49849814997506,8237.7,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,11.185714285713402
Twist & Shout,Deer Valley,40.61590669002216,-111.48826576454944,8415.6,1624,-3717,16,1624_-3717_16,WG012,40.61888894754071,-111.49552539062498,8248.885714285714,7,8022.2,8441.1,166.71428571428623
Aspen Slalom,Deer Valley,40.61311265842392,-111.48457791355952,8816.9,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,34.64285714285688
Boulder,Deer Valley,40.61539223980999,-111.50399769475118,8635.0,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,147.25714285714275
Boulder / Trump,Deer Valley,40.610998229404565,-111.50208555144307,8996.4,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,214.14285714285688
Deer Camp,Deer Valley,40.60519585339864,-111.4911066437841,8920.6,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,138.3428571428576
Fireswamp,Deer Valley,40.61340925382439,-111.48239833860336,8873.0,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,90.74285714285725
Flagstaff Loop,Deer Valley,40.60758047007656,-111.496735533601,8898.0,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,115.74285714285725
Holy Roller,Deer Valley,40.6113609111251,-111.48708066137604,8716.2,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,66.05714285714203
Jeep Hill (Safety Coridoor),Deer Valley,40.60451306969404,-111.50923514571896,8820.6,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,38.34285714285761
Moosebones,Deer Valley,40.61167254823319,-111.50326786094648,8857.2,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,74.94285714285797
Ontario Canyon,Deer Valley,40.61130277448227,-111.48755898005427,8755.1,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,27.15714285714239
