distance_meters,distance_miles,elevation_meters,elevation_feet
0.0,0.0,2406.853759765625,7896.502089189453
20.0,0.012427423844746679,2407.2548828125,7897.818109726562
40.0,0.024854847689493358,2408.197509765625,7900.910717939453
60.0,0.03728227153424004,2405.13720703125,7890.8703543164065
80.0,0.049709695378986715,2401.032958984375,7877.404973154296
100.0,0.0621371192237334,2403.32861328125,7884.936647597656
120.0,0.07456454306848008,2397.50439453125,7865.828317753906
140.0,0.08699196691322675,2402.847900390625,7883.359505517578
160.0,0.09941939075797343,2395.272216796875,7858.50489975586
180.0,0.11184681460272011,2398.59033203125,7869.391104941406
200.0,0.1242742384474668,2396.794677734375,7863.499850498047
220.0,0.13670166229221348,2393.362548828125,7852.239584697266
240.0,0.14912908613696016,2391.7265625,7846.8721753125
260.0,0.16155650998170681,2390.162109375,7841.739454921875
280.0,0.1739839338264535,2389.69189453125,7840.196755253906
300.0,0.18641135767120018,2390.16259765625,7841.7410568945315
320.0,0.19883878151594686,2388.231689453125,7835.40605602539
340.0,0.21126620536069354,2388.55322265625,7836.460955019531
360.0,0.22369362920544023,2385.751953125,7827.270437890625
380.0,0.2361210530501869,2383.22265625,7818.97221953125
400.0,0.2485484768949336,2382.5888671875,7816.892859023437
420.0,0.26097590073968024,2380.421875,7809.783304375
440.0,0.27340332458442695,2380.28125,7809.32193625
460.0,0.2858307484291736,2378.845458984375,7804.611335654296
480.0,0.2982581722739203,2376.2353515625,7796.047990820312
500.0,0.310685596118667,2375.619384765625,7794.027102314453
520.0,0.32311301996341363,2374.87060546875,7791.570477246094
540.0,0.33554044380816034,2371.439697265625,7780.3142163769535
560.0,0.347967867652907,2373.806640625,7788.079778828125
580.0,0.3603952914976537,2371.220458984375,7779.594930654297
600.0,0.37282271534240036,2366.650146484375,7764.600466591797
620.0,0.38525013918714707,2366.964111328125,7765.6305350097655
640.0,0.3976775630318937,2365.268798828125,7760.068485947266
660.0,0.41010498687664043,2362.462890625,7750.862750078125
680.0,0.4225324107213871,2361.091064453125,7746.36200790039
700.0,0.43495983456613374,2362.245849609375,7750.1506732324215
720.0,0.44738725841088045,2359.37939453125,7740.746292753906
740.0,0.4598146822556271,2360.42431640625,7744.1745142382815
760.0,0.4722421061003738,2360.35595703125,7743.950238066406
780.0,0.48466952994512047,2356.60302734375,7731.637476230469
800.0,0.4970969537898672,2356.4775390625,7731.225769257812
820.0,0.5095243776346139,2353.516357421875,7721.510606083984
840.0,0.5219518014793605,2355.277587890625,7727.288921455078
860.0,0.5343792253241072,2351.73193359375,7715.656197011719
880.0,0.5468066491688539,2354.130859375,7723.526688671875
900.0,0.5592340730136005,2349.663330078125,7708.869439853515
920.0,0.5716614968583472,2353.5263671875,7721.5434465234375
940.0,0.5840889207030939,2350.973876953125,7713.169134462891
960.0,0.5965163445478406,2348.899169921875,7706.362352646484
980.0,0.6089437683925872,2350.44482421875,7711.433397089843
1000.0,0.621371192237334,2349.603759765625,7708.673999189453
