u,v,key,osmid,trail_name,highway,length_meters,length_miles
427143539,427158376,0,36744119,Deer Valley Service,track,146.9328483503759,0.09129983915830046
427149409,427149427,0,36744115,Silverlake Access Road,track,218.41115165657183,0.1357143977027732
427149409,427149413,0,36744115,Silverlake Access Road,track,100.37080745899135,0.06236752829661735
427149413,2670682895,0,1079561245,Mid-Mountain Trail,track,29.742597089993318,0.018481193014043808
427149413,9895874389,0,1079561245,Mid-Mountain Trail,track,51.53727455212644,0.03202377773311762
427149442,427149468,0,36744118,Silverlake Access Road,track,87.11895047359154,0.054133206122240825
427149468,427149483,0,36744118,Silverlake Access Road,track,236.94039076318407,0.14722793309769946
427149468,2670679190,0,1103896216,Old NCS Access,track,222.05028675513734,0.13797565141768156
427149483,11895878443,0,36744118,Silverlake Access Road,track,35.92603753520929,0.022323404775616205
427149483,11895879041,0,1281843750,Secret of My Success Trail,path,53.94518101750207,0.033519981444304056
427149487,11895878448,0,36744119,Deer Valley Service,track,16.027824879198707,0.009959228654158905
427149487,11895878443,0,36744118,Silverlake Access Road,track,28.373837306352087,0.01763068511539614
427149487,10101969821,0,36744119,Deer Valley Service,track,327.7854749858276,0.2036764513900245
427149605,427149632,0,36744123,Lower Devo Trail,path,145.29487484845453,0.09028204961055841
427149605,10101958082,0,1103930187,Devo,path,86.1470453704746,0.0535292922895755
427149605,9896217729,0,1281843751,Upper Devo Trail,path,326.52670909388337,0.20289429052699942
427149632,10101958091,0,36744123,Lower Devo Trail,path,188.9243668631823,0.11739215908045907
427149632,2670679587,0,1103896219,Deer Valley Service,track,130.86552922365115,0.08131606991646978
427149632,10101958087,0,1103896219,Deer Valley Service,track,107.69851216731655,0.0669207529075925
427149960,11895879031,0,36744119,Deer Valley Service,track,52.62410151443793,0.03269910069844479
427149960,10101652128,0,36744119,Deer Valley Service,track,24.135460424273774,0.014997079819027984
427149960,11895872267,0,1281843748,Ripple Trail,path,164.5004978082368,0.10221587044673903
427149960,11895879007,0,1281843748,Ripple Trail,path,139.1005495883433,0.08643307433857728
427149960,12958554994,0,1410265611,Regulator Trail,path,456.1873102776718,0.2834616528707795
427150002,427158362,0,36744119,Deer Valley Service,track,55.436372182059635,0.03444656467607897
427150002,11895879031,0,36744119,Deer Valley Service,track,39.85858130943039,0.024766974189129477
427150002,11895879090,0,1103896221,Little Stick,track,55.83215223158699,0.034692490997317534
427158362,427158376,0,36744119,Deer Valley Service,track,191.1301126926732,0.11876274599630235
427158362,3694546127,0,1103930200,Deer Crest Access,path,214.93161160317544,0.13355231175135673
427158376,11895879099,0,1281843748,Ripple Trail,path,16.12794661438931,0.01002144141612316
427158544,8939371851,0,966240025,Holy Roller,path,48.26423807357775,0.029990007154205533
427159933,427159934,0,518525897,Old Homeward Bound,track,14.853596637967067,0.009229597051946052
427159933,9894398116,0,1103861726,Trump,track,24.174940334450394,0.015021611497883855
427159933,2672230165,0,1103861726,Trump,track,30.718986629093948,0.019087893346042828
427159934,2672230201,0,36744565,Ontario Canyon,track,23.62278881933548,0.01467852045264125
427159934,9894398116,0,36744565,Ontario Canyon,track,13.560348721112716,0.008426010051991815
427159934,9895924786,0,518525897,Old Homeward Bound,track,940.3127194313362,0.5842832355489791
427159968,9895924749,0,36744885,Naildriver,path,15.607591640406053,0.009698107825552556
427159968,9895924786,0,518525897,Old Homeward Bound,track,148.13867171004495,0.09204910305692564
427159968,12958804168,0,36744885,Naildriver,path,8.463414315215482,0.005258921843443964
427159984,12958804147,0,36744885,Naildriver,path,4.895624211490034,0.0030419998530395206
427159984,5057896885,0,36744565,Ontario Canyon,track,62.887823093600694,0.039076681612881206
427159984,9894521344,0,1079370844,Silver Lake Road,track,117.87700991936575,0.07324537819096834
427159984,9895874397,0,1079561225,Izzy's Inferno (Dog Pound),path,31.310978922558924,0.019455740303228473
427159984,9895924749,0,36744885,Naildriver,path,100.51030136004147,0.062454205788222694
427159984,10101652004,0,1103896213,Lila's Lair (Dog Pound),path,45.71493674440009,0.028405944747922192
427162678,427162709,0,518525821,Tidal Wave,path,225.15102653100516,0.1399023617890303
427162678,9894520354,0,518525855,Sunset,path,105.72553479536647,0.0656948016057266
427162678,9894520318,0,518525821,Tidal Wave,path,43.86935632916403,0.027259154244937085
427162709,427162711,0,518525821,Tidal Wave,path,1.5468482039375064,0.0009611669126908271
427162709,5057894318,0,518525830,Super G,path,48.08453292859455,0.029878343554016137
